userid,display_name,fullname,aaptwa,aaptwa_left,advanced_em,advanced_em_left,advanced_mechanics,advanced_mechanics_left,advanced_quantum,advanced_quantum_left,advanced_thermal,advanced_thermal_left,alpha_bfy3_conference,alpha_bfy3_conference_left,beatingthespread,beatingthespread_left,capstone_conference,capstone_conference_left,chicago_area,chicago_area_left,chicagoland_region,chicagoland_region_left,classroom_activities,classroom_activities_left,classroom_pedagogy,classroom_pedagogy_left,comp_physics_course,comp_physics_course_left,fdw2017-group8,fdw2017-group8_left,fdw2018_group7,fdw2018_group7_left,fdw2018_presentations,fdw2018_presentations_left,fdw2019_advanced_lab,fdw2019_advanced_lab_left,general,general_left,gillians_2019_group,gillians_2019_group_left,github_classroom,github_classroom_left,glowscript,glowscript_left,hackathon,hackathon_left,intro_em,intro_em_left,intro_mechanics,intro_mechanics_left,introexercises,introexercises_left,jupyter,jupyter_left,localdevelopment,localdevelopment_left,localpartners,localpartners_left,lotus123-fdw2019,lotus123-fdw2019_left,machine_learning,machine_learning_left,mathematica,mathematica_left,matlab_octave,matlab_octave_left,methodstoourmadness,methodstoourmadness_left,michigan_folks,michigan_folks_left,modern_physics,modern_physics_left,morningrunninggroup,morningrunninggroup_left,neofollowup,neofollowup_left,neoplanning,neoplanning_left,neoprecis,neoprecis_left,non-picup-work,non-picup-work_left,picuplocalproject,picuplocalproject_left,picuppokemon,picuppokemon_left,python_slayers,python_slayers_left,quantum_information_science,quantum_information_science_left,random,random_left,resources_tab_website,resources_tab_website_left,sagemath,sagemath_left,socal,socal_left,sympy,sympy_left,taylor-couette,taylor-couette_left,texaspostscript,texaspostscript_left,todds_2017_group,todds_2017_group_left,todds_2018_fdw_group,todds_2018_fdw_group_left,trinket,trinket_left,upper_div_labs,upper_div_labs_left,uppermidwest,uppermidwest_left,uppermidwestprep,uppermidwestprep_left,visualization,visualization_left,vpython7,vpython7_left,whywedothis,whywedothis_left
U1YCYCK61,,,NA,NA,1470394045,NA,1470394033,NA,1470394058,NA,1470394110,1505834046,NA,NA,NA,NA,1573639155,NA,NA,NA,NA,NA,1470393872,NA,1470393913,NA,1484239624,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470328909,NA,NA,NA,NA,NA,1470390547,NA,1470409435,NA,1470393997,NA,1470393979,NA,NA,NA,1470390049,NA,NA,NA,1536689838,NA,NA,NA,NA,NA,1470390589,NA,1470390564,NA,NA,NA,1532436733,NA,1470394010,NA,NA,NA,1507842933,NA,1501145645,NA,NA,NA,NA,NA,1470397237,NA,NA,NA,NA,NA,NA,NA,1470328909,NA,NA,NA,1470397327,1499949904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1493461613,NA,1490958963,NA,NA,NA,NA,NA,1532987586,NA
U1YEMA4BA,,,NA,NA,NA,NA,NA,NA,1470469822,NA,1470469855,NA,NA,NA,NA,NA,1573639875,NA,1538158596,NA,NA,NA,NA,NA,1470469835,NA,1470469862,NA,1499703143,NA,NA,NA,NA,NA,NA,NA,1470343362,NA,NA,NA,NA,NA,1470391518,NA,NA,NA,1470469845,NA,NA,NA,NA,NA,1470391523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470343362,1470394222,1531820861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1532070511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U1YJ1ALLT,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1573639875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470390480,NA,NA,NA,NA,NA,NA,NA,1470403753,NA,NA,NA,NA,NA,NA,NA,1470391677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470395227,1470999126,NA,NA,NA,NA,NA,NA,1470390480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U1YJ38A8K,,,NA,NA,1470440167,NA,1470440199,NA,1470440226,NA,1470440219,NA,NA,NA,NA,NA,1573639875,NA,NA,NA,NA,NA,NA,NA,1477448512,NA,1480429840,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470390802,NA,NA,NA,1553784071,NA,NA,NA,1470403752,NA,NA,NA,NA,NA,1505149464,NA,1470440234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1532097342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470395227,1470999126,NA,NA,NA,NA,NA,NA,1470390802,NA,NA,NA,1470440243,NA,NA,NA,1553784103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1564062065,NA,NA,NA,NA,NA
U1YJA4JNP,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1573639875,NA,NA,NA,NA,NA,1470392913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470391858,NA,NA,NA,NA,NA,1470391941,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470391958,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470391980,NA,1470391976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470395228,1470999126,NA,NA,NA,NA,NA,NA,1470391858,NA,NA,NA,1470392625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U1YKC618E,,,NA,NA,1480593617,NA,1480593675,NA,1480593681,NA,NA,NA,1531687533,NA,NA,NA,1573639876,NA,NA,NA,NA,NA,1470393393,NA,1480593627,NA,1480593638,NA,NA,NA,NA,NA,NA,NA,1562925631,NA,1470390085,NA,NA,NA,NA,NA,1470391681,NA,NA,NA,1480593661,NA,1480593604,NA,1505166432,NA,1470391686,NA,NA,NA,NA,NA,NA,NA,1612972042,NA,1470391690,NA,1470391694,NA,NA,NA,NA,NA,1480593644,NA,NA,NA,NA,NA,NA,NA,NA,NA,1612088573,NA,1470395228,1470999126,NA,NA,NA,NA,1622806051,NA,1470390085,NA,1531826227,NA,1470391637,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500026162,NA,1531826542,NA,1499774443,NA,1563360516,NA,1496391723,NA,NA,NA,1564052312,NA,1582285150,NA,1531833958,NA
U1YKEP2PQ,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1573639876,NA,NA,NA,NA,NA,1470393222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470390515,NA,NA,NA,NA,NA,1470391573,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470391581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1492081665,1470999126,NA,NA,NA,NA,NA,NA,1470390515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1495711074,NA,NA,NA,NA,NA,NA,NA,1531872354,NA
U1YKH1T96,,,NA,NA,1472846834,NA,1531902977,NA,1531902985,NA,1531902998,NA,NA,NA,NA,NA,1573639313,NA,NA,NA,NA,NA,NA,NA,NA,NA,1531903075,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470390725,NA,NA,NA,NA,NA,1470391863,NA,NA,NA,NA,NA,1474407108,NA,NA,NA,1470391869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470395227,1470999126,NA,NA,NA,NA,NA,NA,1470390725,NA,NA,NA,1470391881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1531903035,NA,NA,NA,NA,NA,NA,NA,1564051161,NA,NA,NA,NA,NA
U1YKKBNCU,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1573639318,NA,NA,NA,NA,NA,1470392880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470391488,NA,NA,NA,NA,NA,1470391622,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470391630,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470391639,NA,1470391647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470395227,1470999126,NA,NA,NA,NA,NA,NA,1470391488,NA,NA,NA,1470391653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U1YKKMTFE,,,NA,NA,NA,NA,NA,NA,NA,NA,1491947098,1505834046,NA,NA,NA,NA,1573639876,NA,NA,NA,NA,NA,NA,NA,1531687531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470391540,NA,NA,NA,NA,NA,1470391798,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470391803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470395227,NA,NA,NA,NA,NA,NA,NA,1470391540,NA,1531823338,NA,NA,NA,NA,NA,NA,NA,NA,NA,1489166808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U1YKM7ZRT,,,NA,NA,NA,NA,NA,NA,1573198838,1470429334,NA,NA,NA,NA,NA,NA,1573639876,NA,NA,NA,NA,NA,1470392631,NA,1477344163,NA,1470409484,NA,NA,NA,NA,NA,1532031944,NA,NA,NA,1470390216,NA,NA,NA,NA,NA,1470391527,1562780403,1470403753,NA,1470394364,NA,NA,NA,NA,NA,1470391516,NA,NA,NA,NA,NA,NA,NA,1612972034,NA,NA,NA,1470391612,NA,1562854019,NA,NA,NA,1532033871,NA,1531727579,NA,NA,NA,NA,NA,NA,NA,1611316748,NA,1470395228,1485518139,1531936646,NA,1531936156,NA,NA,NA,1470390216,NA,1579796916,NA,NA,NA,NA,NA,1532087609,NA,NA,NA,NA,NA,NA,NA,NA,NA,1499772397,NA,NA,NA,NA,NA,NA,NA,NA,NA,1582286768,NA,NA,NA
U1YKMC1QD,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1573639876,NA,NA,NA,NA,NA,1470393380,1599155955,NA,NA,NA,NA,NA,NA,NA,NA,1532030533,NA,NA,NA,1470390248,NA,NA,NA,NA,NA,1470391549,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470391556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1562864650,1598454800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1612290653,NA,1470395228,1470999126,NA,NA,NA,NA,NA,NA,1470390248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1499775488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1531831196,1563053828
U1YKN36HF,,,NA,NA,NA,NA,NA,NA,NA,NA,1470394248,NA,NA,NA,NA,NA,1573638923,NA,1538173118,NA,NA,NA,1470394264,NA,1470396134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470389546,NA,NA,NA,NA,NA,1470390735,NA,NA,NA,1470394303,NA,1470394274,NA,NA,NA,1470390746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470390757,NA,NA,NA,NA,NA,1470394284,NA,NA,NA,1507842934,NA,1501145645,NA,NA,NA,NA,NA,1470396152,NA,NA,NA,NA,NA,NA,NA,1470389546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1492433778,NA,1490958963,NA,NA,NA,NA,NA,NA,NA
U1YKN5ZV5,,,1526595652,NA,1526595660,NA,1526595664,NA,1526595668,NA,1526595672,NA,1531831386,NA,NA,NA,1573639876,NA,NA,NA,1531831381,NA,1470394467,NA,1470394476,NA,1526595676,NA,1526595680,NA,NA,NA,NA,NA,NA,NA,1470390206,NA,NA,NA,NA,NA,1470391627,NA,1526595684,NA,1470394482,NA,1470394491,NA,1526595689,NA,1470391632,NA,NA,NA,NA,NA,NA,NA,NA,NA,1526595696,NA,1526595709,NA,NA,NA,NA,NA,1526595721,NA,NA,NA,1526595727,NA,NA,NA,1526595735,NA,NA,NA,1526595741,NA,NA,NA,NA,NA,NA,NA,1470390206,NA,1531834714,NA,1526595755,NA,NA,NA,1526595760,NA,NA,NA,1526595765,NA,1526595770,NA,NA,NA,1526595775,NA,NA,NA,1526595780,NA,NA,NA,NA,NA,NA,NA,1531831401,NA
U1YKNQH55,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1573639318,NA,NA,NA,NA,NA,1470393403,NA,1470394154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470390314,NA,NA,NA,NA,NA,1470390908,NA,NA,NA,NA,NA,1470394164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470394175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470395227,1470999126,NA,NA,NA,NA,NA,NA,1470390314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U1YKUG3B7,,,1480423481,NA,1472593194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1573639876,NA,NA,NA,NA,NA,NA,NA,NA,NA,1487795167,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470391382,NA,1578428528,NA,NA,NA,1470391977,NA,NA,NA,NA,NA,NA,NA,1507013202,NA,1470391957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1581591627,NA,NA,NA,1507842935,NA,1501145645,NA,NA,NA,1612112380,NA,1470395228,NA,NA,NA,NA,NA,NA,NA,1470391382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1489179588,NA,NA,NA,NA,NA,NA,NA,NA,NA,1492114496,NA,1490958963,NA,NA,NA,1582294269,NA,1531863876,NA
U1YKVQNBF,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1528824169,NA,NA,NA,1573639876,1573639904,NA,NA,1528823858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470391585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470393212,1477153594,1533724070,NA,1531942546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1507842933,NA,1501145643,NA,1507388544,NA,NA,NA,1470395226,NA,NA,NA,NA,NA,NA,NA,1470391585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1489165265,NA,NA,NA,NA,NA,NA,NA,NA,NA,1491491417,NA,1490958962,NA,NA,NA,NA,NA,NA,NA
U1YKW1FKR,,,NA,NA,1470407404,NA,NA,NA,NA,NA,1470411600,NA,NA,NA,NA,NA,1573639876,NA,NA,NA,NA,NA,NA,NA,1470411624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470391460,NA,NA,NA,NA,NA,1470391551,NA,1470411632,NA,NA,NA,1470412102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470391562,NA,1470391580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470395228,1470999126,NA,NA,NA,NA,NA,NA,1470391460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U1YKWAY31,,,NA,NA,NA,NA,NA,NA,NA,NA,1486392363,NA,NA,NA,NA,NA,1573639876,NA,1538173118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470391507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470391903,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470391893,NA,1470391914,NA,NA,NA,NA,NA,NA,NA,NA,NA,1507842934,NA,1505405182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470391507,NA,NA,NA,1470392325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1490958963,NA,NA,NA,NA,NA,NA,NA
U1YKWBN2W,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1573639876,NA,NA,NA,NA,NA,1470393327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470390096,NA,NA,NA,NA,NA,1470393113,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470739286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470395228,1470999126,NA,NA,NA,NA,NA,NA,1470390096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U1YKWRURG,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1573639877,NA,NA,NA,NA,NA,1470392904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470390188,NA,NA,NA,NA,NA,1470391527,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470391545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470391554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470395228,1470999126,NA,NA,NA,NA,NA,NA,1470390188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
