Date,Time,Userid_From,Name_From,Message,Userid_To,At,Post_Category,Channel,To_Channel
2/13/19,22:53:01,U1YJ38A8K,,"<@UBMTZF0UA> (channeling the holy <@U1YCYCK61>, master of the land of objectives) What are your learning objectives for integrating computation into the course?  Is there an objective that might be served better by one interface rather than the other?",U1YCYCK61,,0,advanced_mechanics,FALSE
2/13/19,22:53:01,U1YJ38A8K,,"<@UBMTZF0UA> (channeling the holy <@U1YCYCK61>, master of the land of objectives) What are your learning objectives for integrating computation into the course?  Is there an objective that might be served better by one interface rather than the other?",UBMTZF0UA,,0,advanced_mechanics,FALSE
8/5/16,10:47:13,U1YCYCK61,,<@U1YCYCK61> has joined the channel,U1YCYCK61,,joined,advanced_mechanics,TRUE
8/5/16,10:47:14,U1YCYCK61,,<@U1YCYCK61> set the channel description: Discussions of Upper-level Mechanics,U1YCYCK61,,norm,advanced_mechanics,TRUE
8/5/16,23:36:39,U1YJ38A8K,,<@U1YJ38A8K> has joined the channel,U1YCYCK61,,joined,advanced_mechanics,TRUE
8/11/16,10:29:19,U1YL4RMRQ,,<@U1YL4RMRQ> has joined the channel,U1YCYCK61,,joined,advanced_mechanics,TRUE
8/11/16,10:29:19,U1YL4RMRQ,,<@U1YL4RMRQ> has joined the channel,U1YJ38A8K,,joined,advanced_mechanics,TRUE
12/1/16,12:01:15,U1YKC618E,,<@U1YKC618E> has joined the channel,U1YCYCK61,,joined,advanced_mechanics,TRUE
12/1/16,12:01:15,U1YKC618E,,<@U1YKC618E> has joined the channel,U1YJ38A8K,,joined,advanced_mechanics,TRUE
12/1/16,12:01:15,U1YKC618E,,<@U1YKC618E> has joined the channel,U1YL4RMRQ,,joined,advanced_mechanics,TRUE
1/27/17,19:34:33,U3XKPSH5Z,,<@U3XKPSH5Z> has joined the channel,U1YCYCK61,,joined,advanced_mechanics,TRUE
1/27/17,19:34:33,U3XKPSH5Z,,<@U3XKPSH5Z> has joined the channel,U1YJ38A8K,,joined,advanced_mechanics,TRUE
1/27/17,19:34:33,U3XKPSH5Z,,<@U3XKPSH5Z> has joined the channel,U1YKC618E,,joined,advanced_mechanics,TRUE
1/27/17,19:34:33,U3XKPSH5Z,,<@U3XKPSH5Z> has joined the channel,U1YL4RMRQ,,joined,advanced_mechanics,TRUE
