Date,Time,Userid_From,Name_From,Message,Userid_To,At,Post_Category,Channel,To_Channel
11/6/16,16:18:50,U1YJ38A8K,,"<@U1YKM7ZRT>  Cool!  A lot of what is touched on here is what I've been seeing with my students when they are pair programming.  In a month or so when winter break begins, I'd love to have some detailed discussions with other picupers about pair programming implementations and how to mitigate common challenges.",U1YKM7ZRT,,0,classroom_pedagogy,FALSE
10/12/17,10:48:47,U1YEMA4BA,,"In the <#C1YKL8TD3|jupyter> channel, <@U721GN133> mentioned a first activity that he is having his students do using Jupyter notebooks in the CoCalc environment: <https://cocalc.com/projects/83172996-b7c7-4ed4-87b2-170ce1933c36/files/problems/Taylor%205-49.ipynb>
This provides an example of giving students a first experience with computing by giving them a somewhat sophisticated program (which uses arrays, loops, and array indices), but with a few specific lines that say ""insert ___ here"".
I am posting this here in the ""pedagogy"" channel in the hopes that this might prompt a discussion about the different ways that people handle both (1) the scaffolding of activities, and (2) their learning goals as they pertain to computation.",U721GN133,,0,classroom_pedagogy,FALSE
9/11/19,8:49:21,U5BA8P4NP,,1,UJNH8230Q,,emoji,classroom_pedagogy,FALSE
10/20/19,10:58:00,U5BA8P4NP,,1,UJNH8230Q,,emoji,classroom_pedagogy,FALSE
10/20/19,10:58:00,UFJ13UD3N,,1,UJNH8230Q,,emoji,classroom_pedagogy,FALSE
11/1/19,15:31:21,UBP0NQWLD,,trophy,UFJ13UD3N,,emoji,classroom_pedagogy,FALSE
11/1/19,15:31:21,U1YKM7ZRT,,heart_eyes,UFJ13UD3N,,emoji,classroom_pedagogy,FALSE
11/1/19,15:31:21,U46RH1GE4,,1,UFJ13UD3N,,emoji,classroom_pedagogy,FALSE
11/1/19,15:31:21,U46RH1GE4,,100,UFJ13UD3N,,emoji,classroom_pedagogy,FALSE
12/4/19,3:10:42,UPP8DBQ6N,,"Personally, I doubt that taking notes helps students learn physics.  They know how to write things down without thinking about them.

I'd suggest eliminating the memorization from the introductory classes.

If you feel you need note-taking in your class, then I suggest giving students a rubric for their notes, and grading the students for following the rubric.",UBMBY393N,,0,classroom_pedagogy,FALSE
