Date,Time,Userid_From,Name_From,Message,Userid_To,At,Post_Category,Channel,To_Channel
7/13/17,10:09:45,U1YKM7ZRT,,heart,U5SCU625N,,emoji,trinket,FALSE
7/13/17,10:09:45,U1YKC618E,,heart,U5SCU625N,,emoji,trinket,FALSE
7/13/17,12:56:05,U5SCU625N,,"<@U4X9ZLJ2D> if you comment scene.camera.follow(observer), it's a little more evident how the waves evolve.  Actually i think I like it better that way.",U4X9ZLJ2D,,0,trinket,FALSE
7/13/17,17:27:10,U4X9ZLJ2D,,100,U5SCU625N,,emoji,trinket,FALSE
8/20/18,20:24:51,UFJ13UD3N,,1,UBN8AAZS7,,emoji,trinket,FALSE
9/10/18,10:21:44,U1YKC618E,,I LOVE Trinket assignments.  It is worth the fee to upgrade to Trinket Connect to get access to assignments.  Thanks <@U1YKH1T96> for drawing my attention to assignments.  The only thing missing is the ability to submit assignments as groups.,U1YKH1T96,,0,trinket,FALSE
7/12/19,10:08:54,UJF6E99FF,,<@UFJ13UD3N>  Embedding trinkets is definitely a good way to do computational essays. A nice example of this is Rhett Allain’s Dot Physics column over at Wired: <https://www.wired.com/category/science/physics-math/>,UFJ13UD3N,,0,trinket,FALSE
7/12/19,10:08:54,UFJ13UD3N,,1,UJF6E99FF,,emoji,trinket,FALSE
7/12/19,10:16:15,U1YKC618E,,"<@UFJ13UD3N> Can students embed html in the online submission?  I know we as instructors can do it, but I'm not sure students can.",UFJ13UD3N,,0,trinket,FALSE
7/12/19,11:36:28,UFJ13UD3N,,"<@U1YKC618E> yes, that's exactly how.  BUT it seems that sharing it that way, the students edit your original trinket? OR is that just because I'm logged in? More info on Canvas &amp; trinkets here (I should have read that before just fiddling around :joy:): <https://blog.trinket.io/canvas/>",U1YKC618E,,0,trinket,FALSE
