Date,Time,Userid_From,Name_From,Message,Userid_To,At,Post_Category,Channel,To_Channel
4/18/17,22:22:18,U511VJ6BV,,"<@U511VJ6BV> commented on <@U1YKUG3B7>’s file <https://gopicup.slack.com/files/U1YKUG3B7/F51U8V6UF/winona_state_preworkshopsurvey.pdf|https://gopicup.slack.com/files/U1YKUG3B7/F51U8V6UF/winona_state_preworkshopsurvey.pdf>: I'd really like to replace the computational  in-class worksheets I currently use in Jr/Sr Mechanics. I was given a bunch of excel worksheets to numerically solve differential equations, and the physics content is super nice but using excel for 'programming' drives me batty. The 0 th file name and title is Winona State PreWorkshopSurvey.pdf; Winona State PreWorkshopSurvey.pdf.",U1YKUG3B7,,0,uppermidwest,FALSE
4/18/17,22:59:32,U1YKUG3B7,,<@U511VJ6BV> i am not a fun of excel but it is interesting that am considering using excel for my college physics students...they use excel a lot so i figured i could continue that in physics. I only tried vpython for college physics 1 semester but it caught on for only a few students.,U511VJ6BV,,0,uppermidwest,FALSE
4/19/17,15:24:59,U1YKVQNBF,,<@U511VJ6BV> Have you examined yet the Exercise sets (<http://www.compadre.org/PICUP/exercises/>) on the PICUP website?,U511VJ6BV,,0,uppermidwest,FALSE
4/22/17,11:02:27,U1YKVQNBF,,On 18 April <@U511VJ6BV> wrote: <https://gopicup.slack.com/archives/C4VMGU798/p1492568538661745> .,U511VJ6BV,,0,uppermidwest,FALSE
4/22/17,11:08:27,U1YKVQNBF,,"<@U511VJ6BV> Sara - If you looked over the upper level mechanics exercise sets on the PICUP site, chances are you didn't find the topical content corresponding to that of the spreadsheets you inherited. This is a common issue, and the PICUP has anticipated this and created a solution ... well, a work-around.",U511VJ6BV,,0,uppermidwest,FALSE
4/22/17,16:49:17,U1YKUG3B7,,<!channel> that last comment is from <@U4L8L347M> are any of you marching for science?,U4L8L347M,,0,uppermidwest,FALSE
4/23/17,12:30:09,U4ZTN8UDT,,<@U4ZTN8UDT> commented on <@U1YKUG3B7>’s file <https://gopicup.slack.com/files/U1YKUG3B7/F53NUTRKR/concordiapreworkshopsurvey.pdf|https://gopicup.slack.com/files/U1YKUG3B7/F53NUTRKR/concordiapreworkshopsurvey.pdf>: We made changes in our curriculum with the goal to introduce computational physics. We intent to incorporate it in advanced courses and also in the intro physics classes. The 0 th file name and title is ConcordiaPreWorkshopSurvey.pdf; ConcordiaPreWorkshopSurvey.pdf.,U1YKUG3B7,,0,uppermidwest,FALSE
4/23/17,15:35:51,U1YKVQNBF,,<@U4WDXT12S> just wrote <https://gopicup.slack.com/archives/C1YCNE9N0/p1492975070838813> . It  ended up in the <#C1YCNE9N0|general> channel where it got mixed with every other sort of  messages.,U4WDXT12S,,0,uppermidwest,FALSE
4/24/17,17:35:57,U4L8L347M,,"<@U4L8L347M> commented on <@U3X4493KL>’s file <https://gopicup.slack.com/files/U3X4493KL/F53TULBT9/localcommunitiespreworkshopsurvey-vcsu.pdf|https://gopicup.slack.com/files/U3X4493KL/F53TULBT9/localcommunitiespreworkshopsurvey-vcsu.pdf>: Is Tony creating a multi-dimensional array with the different participants and their programming packages?  It might be interesting to see what language/tool, what level (intro to advanced) and who is using what.  This could be a useful resource for future collaboration/questions. The 0 th file name and title is LocalCommunitiesPreWorkshopSurvey-VCSU.pdf; LocalCommunitiesPreWorkshopSurvey-VCSU.pdf.",U3X4493KL,,0,uppermidwest,FALSE
4/24/17,17:39:17,U1YKUG3B7,,I think <@U1YKVQNBF> might be the best person to do this...he is more detailed than i am <@U4L8L347M> where did you march for science?,U1YKVQNBF,,0,uppermidwest,FALSE
4/24/17,17:39:17,U1YKUG3B7,,I think <@U1YKVQNBF> might be the best person to do this...he is more detailed than i am <@U4L8L347M> where did you march for science?,U4L8L347M,,0,uppermidwest,FALSE
4/25/17,17:26:55,U1YKVQNBF,,"<@U1YKVQNBF|norman.chonacky> uploaded a file: <https://gopicup.slack.com/files/norman.chonacky/F54GV79SR/db.pdf|DB.pdf> and commented: <@U4L8L347M> here are the raw input data I assembled from the Prre-workshop questionnaire responses. I am working on a flat database in the format of a spreadsheet, which is what I believe you wished. Maybe finished tomorrow. The 0 th file name and title is DB.pdf; DB.pdf.",U4L8L347M,,0,uppermidwest,FALSE
4/26/17,18:27:35,U1YKUG3B7,,1,U51HYHY56,,emoji,uppermidwest,FALSE
4/26/17,19:42:23,U1YKUG3B7,,<@U1YKUG3B7> commented on <@U1YKVQNBF>’s file <https://gopicup.slack.com/files/U1YKVQNBF/F555HFUCA/db.xlsx.pdf|https://gopicup.slack.com/files/U1YKVQNBF/F555HFUCA/db.xlsx.pdf>: That is pretty cool Norman The 0 th file name and title is DB.xlsx.pdf; DB.xlsx.pdf.,U1YKVQNBF,,0,uppermidwest,FALSE
4/26/17,20:40:25,U1YKUG3B7,,<@U51HYHY56> where did you first incorporate computation in teaching?,U51HYHY56,,0,uppermidwest,FALSE
4/27/17,14:10:36,U4L8L347M,,1,U51HYHY56,,emoji,uppermidwest,FALSE
4/27/17,14:12:57,U1YKUG3B7,,Cool <@U4L8L347M> <@U502466QK> have been using Vpython for quite a while...am also using vpython but will use glowscript or trinket in fall,U4L8L347M,,0,uppermidwest,FALSE
4/27/17,14:12:57,U1YKUG3B7,,Cool <@U4L8L347M> <@U502466QK> have been using Vpython for quite a while...am also using vpython but will use glowscript or trinket in fall,U502466QK,,0,uppermidwest,FALSE
4/27/17,17:03:33,U1YKUG3B7,,<@U1YKUG3B7|tonymusumba> uploaded a file: <https://gopicup.slack.com/files/tonymusumba/F55Q6G5EG/2016_nes-wa_picup.pdf|2016_NES-WA PICUP.pdf> and commented: Preview of saturday's workshop <@U1YKN36HF> and <@U1YKVQNBF> can shed more light on this document The 0 th file name and title is 2016_NES-WA PICUP.pdf; 2016_NES-WA PICUP.pdf.,U1YKN36HF,,0,uppermidwest,FALSE
4/27/17,17:03:33,U1YKUG3B7,,<@U1YKUG3B7|tonymusumba> uploaded a file: <https://gopicup.slack.com/files/tonymusumba/F55Q6G5EG/2016_nes-wa_picup.pdf|2016_NES-WA PICUP.pdf> and commented: Preview of saturday's workshop <@U1YKN36HF> and <@U1YKVQNBF> can shed more light on this document The 0 th file name and title is 2016_NES-WA PICUP.pdf; 2016_NES-WA PICUP.pdf.,U1YKVQNBF,,0,uppermidwest,FALSE
4/28/17,8:26:38,U1YKUG3B7,,<@U4L8L347M> <@U51HYHY56> I have not really utilized the demos that Ruth Chabay provides for instructors I would be happy  to find out how you utilize them. On another note am coming to Fargo this evening &amp; staying at Homewood Suites. When are folks coming in?,U4L8L347M,,0,uppermidwest,FALSE
4/28/17,8:26:38,U1YKUG3B7,,<@U4L8L347M> <@U51HYHY56> I have not really utilized the demos that Ruth Chabay provides for instructors I would be happy  to find out how you utilize them. On another note am coming to Fargo this evening &amp; staying at Homewood Suites. When are folks coming in?,U51HYHY56,,0,uppermidwest,FALSE
